,Beginning of Quarter Employment: Counts,Hires New: Counts,Firm Job Gains: Counts (Job Creation),Firm Job Loss: Counts (Job Destruction),Beginning of Quarter Employment: Counts Flags,Hires New: Counts Flags,Firm Job Gains: Counts (Job Creation) Flags,Firm Job Loss: Counts (Job Destruction) Flags
1990,,,,,-1,-1,-1,-1
1991,39879,7775,2392,3330,10,10,10,10
1992,36595,6980,2608,2404,10,10,10,10
1993,33226,6402,1667,1771,10,10,10,10
1994,32387,6732,1720,2688,10,10,10,10
1995,31701,7611,2471,1643,10,10,10,10
1996,32287,7272,1661,1724,10,10,10,10
1997,28419,6838,1553,1660,10,10,10,10
1998,25587,6938,2073,2318,10,10,10,10
1999,26560,7279,1782,1691,10,10,10,10
2000,25439,6767,1360,1760,10,10,10,10
2001,21182,5406,1232,1304,10,10,10,10
2002,19958,4723,1242,1357,10,10,10,10
2003,20652,4721,1252,1118,10,10,10,10
2004,18372,4140,1024,1026,10,10,10,10
2005,17900,4232,1018,970,10,10,10,10
2006,18045,4273,978,938,10,10,10,10
2007,18226,4401,974,986,10,10,10,10
2008,17270,3624,816,1041,10,10,10,10
2009,16414,2705,739,960,10,10,10,10
2010,15810,2536,737,764,10,10,10,10
2011,15788,2624,795,790,10,10,10,10
2012,15917,2774,828,804,10,10,10,10
2013,15830,2889,810,809,10,10,10,10
2014,15976,3064,918,800,10,10,10,10
2015,16314,3246,828,858,10,10,10,10
2016,16036,3154,764,836,10,10,10,10
2017,15940,3124,728,776,10,10,10,10
2018,15496,3708,748,793,10,10,10,10
2019,14976,2822,620,784,10,10,10,10
2020,14048,3012,942,992,10,10,10,10
2021,14100,3305,765,700,10,10,10,10
2022,14152,3176,739,779,10,10,10,10
2023,13966,2857,693,681,10,10,10,10
2024,14399,2662,,,10,10,-1,-1
